Devamachohalli,Bangalore South,566
Doddabele,Bangalore South,2652
Doddamaranahalli,Bangalore South,888
Doddanagamangala,Bangalore South,5017
Dodderi,Bangalore South,2040
Donnenahalli,Bangalore South,610
Ganapathihalli,Bangalore South,1578
Gangappanahalli,Bangalore South,217
Gangasandra,Bangalore South,781
Gangenahalli,Bangalore South,764
Ganukal,Bangalore South,345
Gonipura,Bangalore South,950
Gudimavu,Bangalore South,429
Gulakamale,Bangalore South,2293
Hampapura,Bangalore South,688
Hommadevanahalli,Bangalore South,4777
Honniganahatti,Bangalore South,2435
Huluvenahalli,Bangalore South,1149
Jogerahalli,Bangalore South,501
K. Chudahalli,Bangalore South,1371
Kaggalipura,Bangalore South,12452
Kambipura,Bangalore South,7018
Kaniminike,Bangalore South,2408
Kempagondanahalli,Bangalore South,814
Kenchanapura,Bangalore South,769
Kengeri Gollahalli,Bangalore South,1912
Kethohalli,Bangalore South,1101
Kethohalli Narasimhapura,Bangalore South,20
Kethohalli Ramapura,Bangalore South,105
Kolur,Bangalore South,1970
Kolur Gururayanapura,Bangalore South,24
Kolur Nanjundapura,Bangalore South,46
Kommaghatta,Bangalore South,2950
Kommaghatta - Krishnasagara,Bangalore South,216
Kumbalagodu Gollahalli,Bangalore South,2579
Kurubarahalli,Bangalore South,1378
Kurubarapalya,Bangalore South,194
M.Krishnasagara,Bangalore South,403
Madapatna,Bangalore South,1321
Maligondanahalli,Bangalore South,928
Mallasandra,Bangalore South,1190
Maragondanahalli,Bangalore South,1133
Marenahalli,Bangalore South,268
Muddaiahnapalya,Bangalore South,411
Mylasandra,Bangalore South,3015
Naganahalli,Bangalore South,353
Naganayakanahalli,Bangalore South,769
Nelaguli,Bangalore South,1198
Nettigere,Bangalore South,1847
O.B.Chudahalli,Bangalore South,1255
Peddanapalya,Bangalore South,398
Punagumaranahalli,Bangalore South,290
Puradapalya,Bangalore South,222
Rachanamadu,Bangalore South,986
Ramohalli,Bangalore South,3975
Ravugodlu,Bangalore South,1397
Seegehalli,Bangalore South,212
Seshagiripura,Bangalore South,246
Somanahalli,Bangalore South,4655
Sulikere,Bangalore South,1070
Sulivara,Bangalore South,1465
Sulivara Ramapura,Bangalore South,16
Sunkadakatte,Bangalore South,433
Tavarekere,Bangalore South,6989
Thagachaguppe,Bangalore South,1741
Tharalu,Bangalore South,2810
Thattaguppe,Bangalore South,2503
Thippagondanahalli,Bangalore South,325
Thippur,Bangalore South,811
Uttarahalli -Manavarthekaval,Bangalore South,244
Uttari,Bangalore South,1452
Vadahalli,Bangalore South,23
Vaddarapalya,Bangalore South,1731
Varthur,Bangalore South,1347
Venkatapura,Bangalore South,14
Vittasandra,Bangalore South,1184
Yalachaguppe Ramapura,Bangalore South,77
Yelachaguppe,Bangalore South,1487
BBMP Municipal Corporation,Karnataka,8143
Adur,Bangalore East,931
Anagalapura,Bangalore East,578
Avalahalli,Bangalore East,7077
Bandapura,Bangalore East,1081
Bandebommasandra,Bangalore East,883
Bendiganahalli,Bangalore East,240
Bidarahalli,Bangalore East,2621
Bidare Agrahara,Bangalore East,1869
Bommenahalli,Bangalore East,1320
Byappanahalli,Bangalore East,1469
Cheemasandra,Bangalore East,3631
Chikkabanahalli,Bangalore East,1275
Chikkakannalli,Bangalore East,58
Chikkanayakanahalli,Bangalore East,1315
Chikkasandra,Bangalore East,15
Doddabanahalli,Bangalore East,1224
Dommasandra,Bangalore East,1139
Goravigere,Bangalore East,1355
Gundur,Bangalore East,1498
Hadosiddapura,Bangalore East,915
Halanayakanahalli,Bangalore East,3648
Halehalli,Bangalore East,882
Hancharahalli,Bangalore East,1200
Hirandahalli,Bangalore East,3547
Huskur,Bangalore East,1444
Jothipura,Bangalore East,1227
Kachamaranahalli,Bangalore East,1056
Kada Agrahara,Bangalore East,835
Kadusonnappanahalli,Bangalore East,2498
Kammasandra,Bangalore East,315
Kannamangala,Bangalore East,4381
Katamnallur,Bangalore East,1954
Kattugollahalli,Bangalore East,966
Khaji Sonnenahalli,Bangalore East,1812
Kithiganur,Bangalore East,3920
Kodathi,Bangalore East,2911
Kodigehalli,Bangalore East,152
Konadasapura,Bangalore East,4170
Kurudusonnenahalli,Bangalore East,1074
Lagumenahalli,Bangalore East,306
Mandur,Bangalore East,2295
Maragondanahalli,Bangalore East,3014
Mittaganahalli,Bangalore East,1010
Mulluru,Bangalore East,3416
Nadagowdagollahalli,Bangalore East,681
Nimbekaipura,Bangalore East,898
Raghuvanahalli,Bangalore East,142
Rampura,Bangalore East,2680
Seegehalli,Bangalore East,3858
Shringaripura,Bangalore East,15
Sulikunte,Bangalore East,2295
Thirumenahalli,Bangalore East,555
Valepura,Bangalore East,1213
Veerenahalli,Bangalore East,2182
Yerappanahalli,Bangalore East,1418
